Dataset,Cond_ratio,Ridge,k,Learn_A,Epoch,Acc,Std.,Time
Citeseer,1,1e-2,1,1,96,70.50,0.54,0.966
Citeseer,1,1e-2,2,0,83,71.86,0.67,1.405
Citeseer,1,1e-2,2,1,71,69.86,0.91,0.808
Citeseer,1,1e-2,3,0,71,71.88,0.41,1.348
Citeseer,1,1e-2,3,1,98,65.16,2.75,1.051
Citeseer,1,1e-2,4,0,79,71.82,0.64,1.608
Citeseer,1,1e-2,4,1,200,49.40,8.03,1.819
Citeseer,1,1e-2,5,0,80,71.86,0.27,0.878
Citeseer,1,1e-2,5,1,165,31.48,0.19,1.504
Citeseer,1,1e-1,1,0,70,70.16,0.38,1.329
Citeseer,1,1e-1,1,1,94,70.68,0.73,0.949
Citeseer,1,1e-1,2,0,79,71.90,0.37,1.278
Citeseer,1,1e-1,2,1,93,69.00,1.67,0.951
Citeseer,1,1e-1,3,0,83,71.90,0.35,1.604
Citeseer,1,1e-1,3,1,198,61.70,3.88,1.877
Citeseer,1,1e-1,4,0,77,72.08,0.91,1.187
Citeseer,1,1e-1,4,1,200,20.48,1.09,1.824
Citeseer,1,1e-1,5,0,77,72.26,1.10,0.807
Citeseer,1,1e-1,5,1,200,19.50,0.72,1.767
Citeseer,1,5e-1,1,0,75,70.56,0.50,1.292
Citeseer,1,5e-1,1,1,121,69.06,1.66,1.065
Citeseer,1,5e-1,2,0,85,71.56,0.17,1.266
Citeseer,1,5e-1,2,1,154,68.30,1.55,1.463
Citeseer,1,5e-1,3,0,88,71.32,0.30,1.290
Citeseer,1,5e-1,3,1,200,25.92,0.92,1.805
Citeseer,1,5e-1,4,0,77,71.52,0.33,1.455
Citeseer,1,5e-1,4,1,200,24.66,0.78,1.791
Citeseer,1,5e-1,5,0,80,71.88,0.30,0.821
Citeseer,1,5e-1,5,1,200,23.04,1.64,1.907
Citeseer,1,1e0,1,0,83,70.54,0.56,1.435
Citeseer,1,1e0,1,1,119,68.78,0.61,1.142
Citeseer,1,1e0,2,0,80,71.66,0.39,1.481
Citeseer,1,1e0,2,1,200,55.96,5.03,1.638
Citeseer,1,1e0,3,0,82,71.32,0.28,1.308
Citeseer,1,1e0,3,1,200,25.86,0.83,1.875
Citeseer,1,1e0,4,0,81,71.48,0.26,1.509
Citeseer,1,1e0,4,1,200,24.40,0.86,1.723
Citeseer,1,1e0,5,0,93,71.64,0.86,0.931
Citeseer,1,1e0,5,1,200,22.88,1.68,1.980
Citeseer,1,5,1,0,120,70.50,0.85,1.904
Citeseer,1,5,1,1,173,71.08,0.45,1.669
Citeseer,1,5,2,0,128,71.96,0.49,1.812
Citeseer,1,5,2,1,200,26.34,0.73,1.674
Citeseer,1,5,3,0,129,72.06,0.60,1.863
Citeseer,1,5,3,1,200,23.76,1.14,1.675
Citeseer,1,5,4,0,129,72.34,0.49,1.879
Citeseer,1,5,4,1,200,21.70,1.86,1.740
Citeseer,1,5,5,0,122,72.30,1.26,1.171
Citeseer,1,5,5,1,200,19.78,0.99,1.792
Citeseer,1,1e1,1,0,147,70.24,0.80,2.462
Citeseer,1,1e1,1,1,200,51.74,3.54,1.665
Citeseer,1,1e1,2,0,143,71.80,0.43,2.132
Citeseer,1,1e1,2,1,200,23.96,1.07,1.608
Citeseer,1,1e1,3,0,142,71.94,1.29,2.087
Citeseer,1,1e1,3,1,200,20.10,1.22,1.631
Citeseer,1,1e1,4,0,156,71.92,1.22,2.038
Citeseer,1,1e1,4,1,200,18.80,0.47,1.953
Citeseer,1,1e1,5,0,143,72.34,1.25,1.312
Citeseer,1,1e1,5,1,200,18.18,0.42,1.691
Pubmed,0.25,1e-3,1,0,200,77.48,0.60,1.451
Pubmed,0.25,1e-3,1,1,164,69.28,5.17,1.022
Pubmed,0.25,1e-3,2,0,189,79.18,0.45,1.457
Pubmed,0.25,1e-3,2,1,193,57.62,16.68,1.097
Pubmed,0.25,1e-3,3,0,184,78.70,0.49,1.737
Pubmed,0.25,1e-3,3,1,186,64.92,4.55,1.096
Pubmed,0.25,1e-3,4,0,189,77.92,0.61,1.738
Pubmed,0.25,1e-3,4,1,182,65.76,14.01,1.146
Pubmed,0.25,1e-3,5,0,198,77.64,1.08,0.954
Pubmed,0.25,1e-3,5,1,192,64.56,13.67,1.224
Pubmed,0.25,1e-2,1,0,169,77.38,0.64,1.337
Pubmed,0.25,1e-2,1,1,191,74.02,1.15,1.096
Pubmed,0.25,1e-2,2,0,160,79.02,0.86,1.598
Pubmed,0.25,1e-2,2,1,175,65.28,9.89,0.974
Pubmed,0.25,1e-2,3,0,172,78.68,0.56,1.569
Pubmed,0.25,1e-2,3,1,162,72.00,2.20,0.937
Pubmed,0.25,1e-2,4,0,175,79.10,0.77,1.713
Pubmed,0.25,1e-2,4,1,182,71.54,6.24,1.022
Pubmed,0.25,1e-2,5,0,194,78.66,0.71,0.928
Pubmed,0.25,1e-2,5,1,195,68.30,8.78,1.137
Pubmed,0.25,1e-1,1,0,153,76.56,1.37,1.484
Pubmed,0.25,1e-1,1,1,144,71.80,3.10,0.798
Pubmed,0.25,1e-1,2,0,175,78.66,0.77,1.361
Pubmed,0.25,1e-1,2,1,172,71.10,3.70,0.944
Pubmed,0.25,1e-1,3,0,197,78.68,0.79,1.733
Pubmed,0.25,1e-1,3,1,184,71.10,2.03,0.948
